,,root mean squared error,median absolute error,accuracy classification score,f1 score,precision,recall
AUS,one_month,1.2409265281745607,0.688254227516444,0.6052631578947368,0.4827586206896552,0.5384615384615384,0.4375
AUS,two_month,1.3599549663423274,0.9287709693234063,0.6052631578947368,0.4827586206896552,0.5384615384615384,0.4375
AUS,three_month,1.36622924716258,0.865357290770102,0.6052631578947368,0.5161290322580646,0.5714285714285714,0.47058823529411764
AUS,four_month,1.3405707482015392,0.7598403898933901,0.5263157894736842,0.47058823529411764,0.5333333333333333,0.42105263157894735
AUS,five_month,1.2279614019218625,0.7774304917572148,0.5789473684210527,0.5294117647058824,0.6428571428571429,0.45
AUS,six_month,1.1808715627981927,0.8197681436593693,0.6578947368421053,0.6285714285714286,0.7857142857142857,0.5238095238095238
AUS,seven_month,1.185342972766167,0.7601537342058382,0.6578947368421053,0.5517241379310345,0.6153846153846154,0.5
AUS,eight_month,1.1365869061647522,0.49667348734806643,0.631578947368421,0.5333333333333333,0.6153846153846154,0.47058823529411764
AUS,nine_month,1.10349118318828,0.6960534040295829,0.7105263157894737,0.6451612903225806,0.7142857142857143,0.5882352941176471
AUS,ten_month,0.991514001525989,0.48326484673089665,0.7368421052631579,0.6875000000000001,0.7857142857142857,0.6111111111111112
AUS,eleven_month,0.8579290605236181,0.4997833033105449,0.7631578947368421,0.7272727272727273,0.8571428571428571,0.631578947368421
AUS,twelve_month,0.8364245664819715,0.516485112968291,0.8157894736842105,0.7878787878787878,0.9285714285714286,0.6842105263157895
CAN,one_month,1.436493353794607,1.026191252506992,0.39473684210526316,0.41025641025641024,0.32,0.5714285714285714
CAN,two_month,1.568567925959234,0.9806211466093866,0.3684210526315789,0.4,0.32,0.5333333333333333
CAN,three_month,1.6470962348493388,1.0832783586799195,0.3157894736842105,0.35000000000000003,0.28,0.4666666666666667
CAN,four_month,1.7055975732609066,1.0263378479554839,0.3157894736842105,0.35000000000000003,0.28,0.4666666666666667
CAN,five_month,1.702817240586828,0.9877629197901037,0.3157894736842105,0.35000000000000003,0.28,0.4666666666666667
CAN,six_month,1.7328771304741148,1.157587165017651,0.2894736842105263,0.30769230769230765,0.24,0.42857142857142855
CAN,seven_month,1.7255267910673384,1.2573755752440465,0.21052631578947367,0.2105263157894737,0.16,0.3076923076923077
