,,root mean squared error,median absolute error,accuracy classification score,f1 score,precision,recall
AUS,one_month,1.4998531977792002,1.164926434628005,0.39473684210526316,0.30303030303030304,0.29411764705882354,0.3125
AUS,two_month,1.7458772829885423,1.066560619776212,0.3684210526315789,0.25,0.25,0.25
AUS,three_month,1.6946639729553419,1.5035610934519028,0.3157894736842105,0.23529411764705882,0.23529411764705882,0.23529411764705882
AUS,four_month,1.3120118669633594,0.7978073767797916,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
AUS,five_month,1.3858257013298287,1.1050412988803022,0.5789473684210527,0.6,0.6,0.6
AUS,six_month,1.3212324162079323,1.053129456242886,0.5526315789473685,0.5853658536585366,0.6,0.5714285714285714
AUS,seven_month,1.4680044924886295,1.071075151604541,0.6052631578947368,0.5714285714285714,0.5263157894736842,0.625
AUS,eight_month,1.5732097704476609,0.9338385249775567,0.5263157894736842,0.5,0.47368421052631576,0.5294117647058824
AUS,nine_month,1.4849333499541797,0.9792929523038254,0.5526315789473685,0.5405405405405405,0.5,0.5882352941176471
AUS,ten_month,1.3599448416074464,0.8354887047010352,0.5526315789473685,0.5641025641025642,0.5238095238095238,0.6111111111111112
AUS,eleven_month,1.3756191499933457,0.852872532691237,0.5789473684210527,0.6190476190476191,0.5652173913043478,0.6842105263157895
AUS,twelve_month,1.4423036728848235,0.8474110565166997,0.4473684210526316,0.4878048780487805,0.45454545454545453,0.5263157894736842
CAN,one_month,1.3501455829557245,0.8806324259200071,0.5,0.3870967741935484,0.35294117647058826,0.42857142857142855
CAN,two_month,1.6757712996401553,1.1260187329225433,0.34210526315789475,0.1379310344827586,0.14285714285714285,0.13333333333333333
CAN,three_month,1.7669332686923265,0.8531170301302884,0.3684210526315789,0.14285714285714288,0.15384615384615385,0.13333333333333333
CAN,four_month,1.6414037937460308,0.9257682363662256,0.42105263157894735,0.3125,0.29411764705882354,0.3333333333333333
CAN,five_month,1.6431431587470549,0.9968900092475159,0.4473684210526316,0.3225806451612903,0.3125,0.3333333333333333
CAN,six_month,1.671495599222858,1.15677221501999,0.47368421052631576,0.3333333333333333,0.3125,0.35714285714285715
CAN,seven_month,1.7694403180475482,1.3836530162224947,0.3157894736842105,0.13333333333333333,0.11764705882352941,0.15384615384615385
CAN,eight_month,1.7851129480779915,1.035572605067125,0.3157894736842105,0.23529411764705882,0.2222222222222222,0.25
CAN,nine_month,1.7214054305964839,1.197611944586478,0.34210526315789475,0.2424242424242424,0.2222222222222222,0.26666666666666666
CAN,ten_month,1.694972018154327,1.2707456582450503,0.39473684210526316,0.37837837837837834,0.3333333333333333,0.4375
CAN,eleven_month,1.6941037010437976,1.3688568253093576,0.39473684210526316,0.41025641025641024,0.38095238095238093,0.4444444444444444
CAN,twelve_month,1.6775427772545404,1.13373903977253,0.42105263157894735,0.3888888888888889,0.3684210526315789,0.4117647058823529
JAP,one_month,1.4438442345601001,1.0082671080742078,0.3684210526315789,0.42857142857142855,0.42857142857142855,0.42857142857142855
JAP,two_month,1.3929638654443481,0.9551779749435315,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
JAP,three_month,1.493136357457117,1.0727401402033312,0.4473684210526316,0.43243243243243246,0.4444444444444444,0.42105263157894735
JAP,four_month,1.5287295556371838,0.7971455393806264,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105
JAP,five_month,1.6468205600600176,1.1115760063051279,0.3157894736842105,0.380952380952381,0.4,0.36363636363636365
JAP,six_month,1.6694379715802663,1.0635415368247654,0.3157894736842105,0.38095238095238093,0.38095238095238093,0.38095238095238093
JAP,seven_month,1.6711612751965153,1.2606828438530129,0.34210526315789475,0.358974358974359,0.3684210526315789,0.35
JAP,eight_month,1.7588199104311242,1.1486506062895732,0.2894736842105263,0.22857142857142856,0.25,0.21052631578947367
JAP,nine_month,1.8244320231904902,1.1561242687608906,0.23684210526315788,0.12121212121212123,0.15384615384615385,0.1
JAP,ten_month,1.8529286116392247,1.0649498691950519,0.2631578947368421,0.125,0.14285714285714285,0.1111111111111111
JAP,eleven_month,1.8746521641992673,1.1635376681275607,0.23684210526315788,0.21621621621621623,0.26666666666666666,0.18181818181818182
JAP,twelve_month,1.819489474051063,1.2814039805707982,0.34210526315789475,0.358974358974359,0.4375,0.30434782608695654
NOR,one_month,1.4215030848292878,1.0899197341119495,0.5263157894736842,0.47058823529411764,0.47058823529411764,0.47058823529411764
NOR,two_month,1.6615978588400804,1.4339207365749784,0.34210526315789475,0.28571428571428575,0.29411764705882354,0.2777777777777778
NOR,three_month,1.762538463885232,1.5194319805767242,0.2631578947368421,0.17647058823529413,0.17647058823529413,0.17647058823529413
NOR,four_month,1.613107797930994,1.0437193763980763,0.42105263157894735,0.3125,0.3125,0.3125
NOR,five_month,1.52675217100926,1.1154529640827906,0.4473684210526316,0.39999999999999997,0.3888888888888889,0.4117647058823529
NOR,six_month,1.539710397818692,1.219002383097632,0.5,0.5365853658536585,0.5238095238095238,0.55
NOR,seven_month,1.6126034889635301,1.0773152260323333,0.4473684210526316,0.4878048780487805,0.45454545454545453,0.5263157894736842
NOR,eight_month,1.6879772206435883,1.1421893743418887,0.42105263157894735,0.38888888888888884,0.35,0.4375
NOR,nine_month,1.6159463115534476,0.8119584740681414,0.39473684210526316,0.34285714285714286,0.3,0.4
NOR,ten_month,1.5364095297237848,0.9743993294964233,0.5526315789473685,0.5405405405405405,0.5,0.5882352941176471
NOR,eleven_month,1.5482647742985807,0.9338920634587281,0.5,0.5128205128205129,0.5,0.5263157894736842
NOR,twelve_month,1.5747090257498935,0.988184158431392,0.4473684210526316,0.4615384615384615,0.42857142857142855,0.5
SWE,one_month,1.393478395056861,1.1306230337520615,0.5263157894736842,0.55,0.55,0.55
SWE,two_month,1.5275096188905561,1.0561864103990972,0.4473684210526316,0.3636363636363636,0.35294117647058826,0.375
SWE,three_month,1.5455264353741573,1.1035958769118603,0.34210526315789475,0.358974358974359,0.35,0.3684210526315789
